Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
CaseInsensitiveMapTest,98%,0.98,62%,0.62,2,14,16,0,65,0,10,0,1
AbstractReferenceMap.ReferenceBaseIterator,97%,0.97,91%,0.91,2,19,21,1,49,0,7,0,1
CaseInsensitiveMap,92%,0.92,100%,1,1,10,11,2,21,1,8,0,1
UnmodifiableMapTest,90%,0.9,n/a,n/a,0,9,9,2,19,0,9,0,1
UnmodifiableOrderedMapTest,90%,0.9,n/a,n/a,0,9,9,2,19,0,9,0,1
UnmodifiableSortedMapTest,90%,0.9,n/a,n/a,0,9,9,2,19,0,9,0,1
LinkedMap.LinkedMapList,95%,0.95,n/a,n/a,1,19,20,1,21,1,19,0,1
AbstractMapTest.TestMapKeySet,94%,0.94,n/a,n/a,1,12,13,1,22,1,12,0,1
MultiValueMap.Values,90%,0.9,100%,1,1,5,6,2,9,1,4,0,1
AbstractOrderedMapDecorator,87%,0.87,n/a,n/a,1,8,9,1,10,1,8,0,1
LinkedMapTest.TestListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
ListOrderedMapTest.TestValueListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
ListOrderedMap2Test.TestListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
ListOrderedMapTest.TestKeyListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
SingletonMap.SingletonValues,85%,0.85,n/a,n/a,1,6,7,1,8,1,6,0,1
MultiValueMap.1.1.new Map.Entry() {...},80%,0.8,n/a,n/a,1,4,5,1,4,1,4,0,1
AbstractLinkedMap.ValuesIterator,66%,0.66,n/a,n/a,1,3,4,1,4,1,3,0,1
AbstractLinkedMap.KeySetIterator,66%,0.66,n/a,n/a,1,3,4,1,4,1,3,0,1
AbstractMapTest.TestMapEntrySet,99%,0.99,90%,0.9,2,28,30,2,101,0,18,0,1
LRUMapTest.new Thread() {...},97%,0.97,80%,0.8,2,7,9,2,26,0,2,0,1
LRUMapTest.new Thread() {...},97%,0.97,80%,0.8,2,7,9,2,26,0,2,0,1
LRUMapTest.new Thread() {...},97%,0.97,80%,0.8,2,7,9,2,25,0,2,0,1
LRUMapTest.new Thread() {...},97%,0.97,80%,0.8,2,7,9,2,24,0,2,0,1
AbstractLinkedMap.EntrySetIterator,70%,0.7,n/a,n/a,1,3,4,1,4,1,3,0,1
UnmodifiableEntrySet,98%,0.98,83%,0.83,2,18,20,1,29,0,12,0,1
AbstractHashedMap.HashEntry,98%,0.98,90%,0.9,2,18,20,1,24,0,7,0,1
StaticBucketMap.Node,97%,0.97,90%,0.9,2,15,17,1,15,0,5,0,1
Flat3Map.EntrySet,96%,0.96,83%,0.83,1,8,9,1,18,0,5,0,1
IdentityMap.IdentityEntry,95%,0.95,75%,0.75,2,7,9,1,12,0,3,0,1
FixedSizeSortedMapTest,93%,0.93,n/a,n/a,1,8,9,1,11,1,8,0,1
AbstractInputCheckedMapDecorator,92%,0.92,100%,1,1,5,6,1,8,1,4,0,1
PassiveExpiringMapTest.TestExpirationPolicy,84%,0.84,75%,0.75,1,3,4,1,5,0,1,0,1
TransformedMap,99%,0.99,83%,0.83,2,18,20,0,38,0,12,0,1
EmptyMapMutator,94%,0.94,n/a,n/a,1,4,5,1,5,1,4,0,1
Flat3MapTest,100%,1,n/a,n/a,0,50,50,0,494,0,50,0,1
TransformedMapTest,100%,1,100%,1,0,8,8,0,64,0,6,0,1
DefaultedMapTest,100%,1,n/a,n/a,0,7,7,0,60,0,7,0,1
StaticBucketMapTest,100%,1,100%,1,0,11,11,0,29,0,8,0,1
SingletonMapTest,100%,1,n/a,n/a,0,15,15,0,33,0,15,0,1
PredicatedMap,100%,1,100%,1,0,17,17,0,32,0,9,0,1
StaticBucketMap.EntrySet,100%,1,100%,1,0,11,11,0,24,0,6,0,1
AbstractInputCheckedMapDecorator.EntrySet,100%,1,90%,0.9,1,9,10,0,21,0,4,0,1
StaticBucketMap.BaseIterator,100%,1,100%,1,0,10,10,0,24,0,4,0,1
TransformedSortedMap,100%,1,50%,0.5,1,11,12,0,19,0,10,0,1
AbstractMapDecorator,100%,1,100%,1,0,20,20,0,27,0,18,0,1
ListOrderedMap.EntrySetView,100%,1,100%,1,0,16,16,0,26,0,12,0,1
AbstractSortedMapTest.TestViewMap,100%,1,n/a,n/a,0,16,16,0,27,0,16,0,1
LazyMap,100%,1,100%,1,0,10,10,0,24,0,7,0,1
HashedMapTest,100%,1,n/a,n/a,0,7,7,0,21,0,7,0,1
StaticBucketMap.KeySet,100%,1,75%,0.75,2,10,12,0,15,0,6,0,1
LazySortedMap,100%,1,n/a,n/a,0,11,11,0,16,0,11,0,1
UnmodifiableOrderedMap,100%,1,100%,1,0,13,13,0,24,0,12,0,1
AbstractSortedMapTest,100%,1,100%,1,0,13,13,0,21,0,12,0,1
PredicatedSortedMap,100%,1,n/a,n/a,0,9,9,0,13,0,9,0,1
AbstractHashedMap.EntrySet,100%,1,100%,1,0,11,11,0,19,0,6,0,1
EntrySetToMapIteratorAdapter,100%,1,100%,1,0,10,10,0,18,0,9,0,1
AbstractIterableMapTest.InnerTestMapIterator,100%,1,n/a,n/a,0,10,10,0,16,0,10,0,1
Flat3Map.KeySet,100%,1,100%,1,0,8,8,0,15,0,6,0,1
AbstractLinkedMap.LinkMapIterator,100%,1,100%,1,0,9,9,0,16,0,6,0,1
Flat3MapTest.TestFlatMapIterator,100%,1,n/a,n/a,0,9,9,0,15,0,9,0,1
AbstractOrderedMapTest.InnerTestOrderedMapIterator,100%,1,n/a,n/a,0,9,9,0,15,0,9,0,1
AbstractReferenceMap.ReferenceMapIterator,100%,1,100%,1,0,8,8,0,15,0,5,0,1
AbstractHashedMap.HashMapIterator,100%,1,100%,1,0,8,8,0,15,0,5,0,1
ListOrderedMap.ValuesView,100%,1,n/a,n/a,0,8,8,0,11,0,8,0,1
MultiValueMap.ValuesIterator,100%,1,100%,1,0,5,5,0,11,0,4,0,1
AbstractReferenceMap.ReferenceEntrySet,100%,1,100%,1,0,4,4,0,8,0,3,0,1
MultiValueMap.new LazyIteratorChain() {...},100%,1,100%,1,0,3,3,0,6,0,2,0,1
HashedMap,100%,1,n/a,n/a,0,7,7,0,15,0,7,0,1
AbstractHashedMap.KeySet,100%,1,n/a,n/a,0,6,6,0,11,0,6,0,1
ListOrderedMap.ListOrderedIterator,100%,1,n/a,n/a,0,3,3,0,9,0,3,0,1
AbstractReferenceMap.ReferenceKeySet,100%,1,100%,1,0,4,4,0,8,0,3,0,1
AbstractReferenceMap.ReferenceValues,100%,1,100%,1,0,4,4,0,8,0,3,0,1
ListOrderedMap.KeySetView,100%,1,n/a,n/a,0,5,5,0,8,0,5,0,1
FixedSizeMapTest,100%,1,n/a,n/a,0,6,6,0,9,0,6,0,1
ReferenceMapTest.AccessibleEntry,100%,1,50%,0.5,1,3,4,0,7,0,2,0,1
AbstractInputCheckedMapDecorator.EntrySetIterator,100%,1,n/a,n/a,0,2,2,0,6,0,2,0,1
AbstractHashedMap.Values,100%,1,n/a,n/a,0,5,5,0,8,0,5,0,1
ReferenceMapTest.new ReferenceMap() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
ListOrderedMap.ListOrderedMapEntry,100%,1,n/a,n/a,0,3,3,0,5,0,3,0,1
UnmodifiableEntrySet.UnmodifiableEntrySetIterator,100%,1,n/a,n/a,0,3,3,0,5,0,3,0,1
StaticBucketMap.Values,100%,1,n/a,n/a,0,4,4,0,5,0,4,0,1
AbstractInputCheckedMapDecorator.MapEntry,100%,1,n/a,n/a,0,2,2,0,6,0,2,0,1
LRUMapTest.MockLRUMapSubclass,100%,1,n/a,n/a,0,2,2,0,6,0,2,0,1
MultiValueMap.1.new Transformer() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
LRUMapTest.MockLRUMapSubclassFirstBlocksRemove,100%,1,100%,1,0,3,3,0,5,0,2,0,1
DefaultedMapTest.new Transformer() {...},100%,1,100%,1,0,3,3,0,4,0,2,0,1
ListOrderedMap.KeySetView.new AbstractUntypedIteratorDecorator() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
ListOrderedMap.ValuesView.new AbstractUntypedIteratorDecorator() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
StaticBucketMap.KeyIterator,100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
StaticBucketMap.ValueIterator,100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
AbstractReferenceMap.WeakRef,100%,1,n/a,n/a,0,2,2,0,4,0,2,0,1
StaticBucketMap.EntryIterator,100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
UnmodifiableEntrySet.UnmodifiableEntry,100%,1,n/a,n/a,0,2,2,0,4,0,2,0,1
AbstractIterableMap,100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
Flat3Map.KeySetIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
AbstractHashedMap.ValuesIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
AbstractReferenceMap.ReferenceValuesIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
AbstractHashedMap.KeySetIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
AbstractReferenceMap.ReferenceKeySetIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
Flat3Map.ValuesIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
Flat3Map.EntrySetIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
AbstractReferenceMap.ReferenceEntrySetIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
AbstractLinkedMap.LinkEntry,100%,1,n/a,n/a,0,1,1,0,2,0,1,0,1
LRUMapTest.MockLRUMapSubclassBlocksRemove,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
AbstractHashedMap.EntrySetIterator,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
PredicatedMapTest.new Predicate() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
PredicatedSortedMapTest.new Predicate() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
