Version,Average Class Change Proneness(Metric 5),Lines of Code,Bugs,Software Defect Density(Metric 6)
3.8.1,0.776857462,81675,11,0.1346
3.7,0.777853271,80767,23,0.2847
3.6,0.777370103,79591,22,0.2764
3.5,0.775694706,77185,20,0.2591
