Version,Average Class Change Proneness(Metric 5),Lines of Code,Bugs,Software Defect Density(Metric 6)
2.5,0.911376842,104601,1,0.0095
2.4,0.911376842,88158,6,0.068
2.2,0.912422976,87280,20,0.2291
2.1,0.911968686,85849,17,0.198
2,0.912055896,85099,14,0.1645
