Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.math4.geometry.euclidean.twod,97%,0.97,81%,0.81,85,551,636,82,"1,963",10,319,0,29
org.apache.commons.math4.ml.clustering,91%,0.91,75%,0.75,54,201,255,106,608,19,90,0,15
org.apache.commons.math4.optim.linear,98%,0.98,84%,0.84,51,283,334,58,"1,058",10,136,0,14
org.apache.commons.math4.stat.descriptive.moment,91%,0.91,79%,0.79,62,300,362,98,898,27,212,0,28
org.apache.commons.math4.analysis.differentiation,98%,0.98,98%,0.98,31,"1,072","1,103",56,"3,445",13,447,0,29
org.apache.commons.math4.optim.univariate,90%,0.9,77%,0.77,60,210,270,40,587,6,87,0,21
org.apache.commons.math4.stat.ranking,87%,0.87,77%,0.77,13,74,87,44,316,4,35,0,5
org.apache.commons.math4.ode.events,92%,0.92,83%,0.83,50,284,334,51,670,16,144,1,37
org.apache.commons.math4.analysis.integration,91%,0.91,64%,0.64,72,172,244,61,616,4,74,0,13
org.apache.commons.math4.stat.correlation,97%,0.97,88%,0.88,27,219,246,49,731,7,123,0,12
org.apache.commons.math4.ml.neuralnet.sofm,87%,0.87,82%,0.82,32,114,146,57,349,22,76,0,15
org.apache.commons.math4.stat,93%,0.93,82%,0.82,17,143,160,81,785,4,91,0,6
org.apache.commons.math4.geometry.spherical.oned,95%,0.95,90%,0.9,25,241,266,39,837,6,126,0,16
org.apache.commons.math4.analysis,93%,0.93,90%,0.9,12,135,147,30,354,9,102,0,29
org.apache.commons.math4.ml.neuralnet.twod,96%,0.96,96%,0.96,11,171,182,37,534,3,37,0,5
org.apache.commons.math4.filter,92%,0.92,75%,0.75,21,69,90,30,272,6,38,0,5
org.apache.commons.math4.fitting,97%,0.97,78%,0.78,40,192,232,36,663,6,101,0,19
org.apache.commons.math4.optim,91%,0.91,79%,0.79,33,154,187,26,331,9,88,0,25
org.apache.commons.math4.geometry.spherical.twod,98%,0.98,88%,0.88,46,338,384,23,"1,031",4,139,0,15
org.apache.commons.math4.exception,87%,0.87,85%,0.85,19,104,123,30,227,17,97,1,36
org.apache.commons.math4.optim.nonlinear.scalar,96%,0.96,75%,0.75,28,135,163,10,398,0,75,0,22
